sample_id,prompt,model,model_version,date,compiles,edits_to_compile
api_chatgpt_04,p2,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,none
dbquery_chatgpt_04,p3,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,none
fileio_chatgpt_04,p4,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,none
parallel_chatgpt_04,p5,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,none
config_claude_04,p1,Claude,claude-sonnet-4.6,6/3/26,yes,none
api_claude_04,p2,Claude,claude-sonnet-4.6,6/3/26,yes,none
dbquery_claude_04,p3,Claude,claude-sonnet-4.6,6/3/26,yes,none
fileio_claude_04,p4,Claude,claude-sonnet-4.6,6/3/26,yes,none
parallel_claude_04,p5,Claude,claude-sonnet-4.6,6/3/26,yes,none
config_copilot_04,p1,Copilot,Haiku 4.5,6/3/26,yes,none
api_copilot_04,p2,Copilot,Haiku 4.5,6/3/26,yes,none
dbquery_copilot_04,p3,Copilot,Haiku 4.5,6/3/26,yes,none
fileio_copilot_04,p4,Copilot,Haiku 4.5,6/3/26,yes,none
parallel_copilot_04,p5,Copilot,Haiku 4.5,6/3/26,yes,none
config_chatgpt_05,p1,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,none
api_chatgpt_05,p2,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,none
dbquery_chatgpt_05,p3,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,none
fileio_chatgpt_05,p4,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,none
parallel_chatgpt_05,p5,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,none
config_claude_05,p1,Claude,claude-sonnet-4.6,6/3/26,yes,none
api_claude_05,p2,Claude,claude-sonnet-4.6,6/3/26,yes,none
dbquery_claude_05,p3,Claude,claude-sonnet-4.6,6/3/26,yes,none
fileio_claude_05,p4,Claude,claude-sonnet-4.6,6/3/26,yes,none
parallel_claude_05,p5,Claude,claude-sonnet-4.6,6/3/26,yes,none
config_copilot_05,p1,Copilot,Haiku 4.5,6/3/26,yes,none
api_copilot_05,p2,Copilot,Haiku 4.5,6/3/26,yes,none
dbquery_copilot_05,p3,Copilot,Haiku 4.5,6/3/26,yes,none
fileio_copilot_05,p4,Copilot,Haiku 4.5,6/3/26,yes,none
parallel_copilot_05,p5,Copilot,Haiku 4.5,6/3/26,yes,none
